"콘텐츠명","룸개수","애완동물동반허용여부","조식제공여부","금연여부","공항교통편","셔틀버스운행여부","등급","체크인시간","체크아웃시간","LATE체크인여부","장애인전용객실여부","부대시설기타","유아서비스기타"
"산방산에펜션",,"","","","","","","","","","","",""
"동촌하우스",,"","","","","","","","","","","",""
"우도노을사랑",,"","","","","","","","","","","",""
"한모살",,"","","","","","","","","","","",""
"제주쉼표",,"","","","","","","","","","","",""
"메모리제주펜션",,"","","","","","","","","","","",""
"펠리시아호텔",,"","","","","","","","","","","",""
"엠버하우스",,"","","","","","","","","","","",""
"지현민박",,"","","","","","","","","","","",""
"바당갤러리펜션",,"","","","","","","","","","","",""
"더하우스펜션",,"","","","","","","","","","","",""
"더코브호텔",,"","","","","","","","","","","",""
"낭만펜션",,"","","","","","","","","","","",""
"하도하도1929",,"","","","","","","","","","","",""
"신흥소시민",,"","","","","","","","","","","",""
"까사데비발디호텔",,"","","","","","","","","","","",""
"게스트하우스 클럽 제이제이",,"","","","","","","","","","","",""
"그림그리는펜션",,"","","","","","","","","","","",""
"블루마린",,"","","","","","","","","","","",""
"해비치 바람의집 펜션&카페",,"","","","","","","","","","","",""
"아침해변",,"","","","","","","","","","","",""
"베누스무인텔",,"","","","","","","","","","","",""
"루시드봉봉",,"","","","","","","","","","","",""
"예이츠산장",,"","","","","","","","","","","",""
"오션그랜드호텔 (함덕)",,"","","","","","","","","","","",""
"펜션머물다",,"","","","","","","","","","","",""
"표선이레하우스",,"","","","","","","","","","","",""
"비젠빌리지",,"","","","","","","","","","","",""
"함덕산티아고게스트하우스",,"","","","","","","","","","","",""
"예스준게스트하우스",5,"n","2","1","버스","n","0","16:00","10:30","y","n","레스토랑, 카페, 펍, 제주감성소품샵",""
"펜션소설",,"","","","","","","","","","","",""
"지니코티지",,"","","","","","","","","","","",""
"욜로게스트하우스",,"","","","","","","","","","","",""
"디아일랜드마리나",,"","","","","","","","","","","",""
"하도리보통날",,"","","","","","","","","","","",""
"푸른밤글램핑게스트하우스",,"","","","","","","","","","","",""
"제주인호텔",,"","","","","","","","","","","",""
"자유게스트하우스",,"","","","","","","","","","","",""
"금호리조트제주",,"","","","","","","","","","","",""
"아올키즈펜션",,"","","","","","","","","","","",""
"마눌펜션",4,"n","3","2","버스, 렌트카","n","","16:00","11:00","y","n","",""
"비고르",,"","","","","","","","","","","",""
"뒹글하우스",,"","","","","","","","","","","",""
"게으르게",,"","","","","","","","","","","",""
"청춘게스트하우스",,"","","","","","","","","","","",""
"바람이머물다",,"","","","","","","","","","","",""
"노낭게스트하우스",,"","","","","","","","","","","",""
"신등대민박",5,"n","1","1","","n","0","","","y","n","",""
"제주다이브 게스트하우스",,"","","","","","","","","","","",""
"제주이글루",,"","","","","","","","","","","",""
"핫플게스트하우스",,"","","","","","","","","","","",""
"객의하우스",,"","","","","","","","","","","",""
"수상한소금밭게스트하우스",,"","","","","","","","","","","",""
"해비치호텔앤드리조트",,"","","","","","5","15:00","12:00","","","",""
"포도호텔",,"","","","","","","","","","","",""
"아이비테라스",,"","","","","","","","","","","",""
"제주부영청소년수련원",86,"","","","","","0","15:00","11:00","","y","",""
"소랑풀빌라",,"","","","","","","","","","","",""
"아라벨롱 게스트하우스",,"","","","","","","","","","","",""
"제주 메이 더 호텔 카라반빌리지",,"","","","","","","","","","","",""
"사차원게스트하우스",,"","","","","","","","","","","",""
"성산아침노을펜션",,"","","","","","","","","","","",""
"소소게스트하우스",,"","","","","","","","","","","",""
"섬타임즈",,"","","","","","","","","","","",""
"고불락하우스",,"","","","","","","","","","","",""
"쪼인게스트하우스",,"","","","","","","","","","","",""
"태흥리조트",,"","","","","","","","","","","",""
"편백나무 한옥펜션 먼나머루",,"","","","","","","","","","","",""
"동백동산펜션",,"","","","","","","","","","","",""
"우리희망이 게스트하우스",,"","","","","","","16:00","10:00","y","","",""
"관식이네민박",,"","","","","","","","","","","",""
"하도리민박",,"","","","","","","","","","","",""
"UTS제주골프빌리지",,"","","","","","","","","","","",""
"한옥휴양타운펜션",,"","","","","","","","","","","",""
"스테이 협재10길 ",4,"n","3","1","","","0","15:00","11:00","","","",""
"도시락게스트하우스",,"","","","","","","","","","","",""
"호텔섬오름",,"","","","","","","","","","","",""
"고양이정원",,"","","","","","","","","","","",""
"Oh! 세화! (오세화게스트하우스)",,"","","","","","","","","","","",""
"봉쟈 게스트하우스",,"","","","","","","","","","","",""
"볼레낭펜션",,"","","","","","","","","","","",""
"콴도제주",,"","","","","","","","","","","",""
"히든클리프 호텔 앤 네이쳐",,"","","","","","","","","","","",""
"나무처럼 게스트하우스",,"","","","","","","","","","","",""
"안녕한계절",,"","","","","","","","","","","",""
"산방산클립게스트하우스",,"","","","","","","","","","","",""
"라림부띠끄호텔",,"","","","","","","","","","","",""
"덕후게스트하우스",,"","","","","","","","","","","",""
"흰고래게스트하우스",,"","","","","","","","","","","",""
"달빛빌리지",,"","","","","","","","","","","",""
"안녕제주",,"","","","","","","","","","","",""
"언니게스트하우스",,"","","","","","","","","","","",""
"노닐다 게스트하우스",,"","","","","","","","","","","",""
"뱅디가름게스트하우스",,"","","","","","","","","","","",""
"동굴민박",,"","","","","","","","","","","",""
"핸즈인제주",,"","","","","","","","","","","",""
"리니민박(RINY)",,"","","","","","","","","","","",""
"이디wan",,"","","","","","","","","","","",""
"수하리839",,"","","","","","","","","","","",""
"송림원",,"","","","","","","","","","","",""
"하도하도3200",,"","","","","","","","","","","",""
"아토하우스",,"","","","","","","","","","","",""
"바다별",,"","","","","","","","","","","",""
"하늘정원펜션",,"","","","","","","","","","","",""
"파밀리아호텔",,"","","","","","","","","","","",""
"오시록헌펜션",,"","","","","","","","","","","",""
"아모르하우스",,"","","","","","","","","","","",""
"옥빛바다민박",,"","","","","","","","","","","",""
"나무아래독채펜션",,"","","","","","","","","","","",""
"소풍BnB",,"","","","","","","","","","","",""
"몬딱게스트하우스",,"","","","","","","","","","","",""
"모루티",,"","","","","","","","","","","",""
"제주 스카이라인 휴양펜션",,"","","","","","","","","","","",""
"메르빌 펜션 & 게스트하우스",,"","","","","","","","","","","",""
"씨엘드제주",,"","","","","","","","","","","",""
"밍기적게스트하우스",,"","","","","","","","","","","",""
"거드락지민박",,"","","","","","","","","","","",""
"별마로펜션",,"","","","","","","","","","","",""
"더들집",,"","","","","","","","","","","",""
"휘슬락호텔",,"","","","","","","","","","","",""
"활엽수 게스트하우스",,"","","","","","","","","","","",""
"힐링캠프펜션",,"","","","","","","","","","","",""
"더쉼팡스파&풀빌라",,"","","","","","","","","","","",""
"에스호텔",,"","","","","","","","","","","",""
"파파야게스트하우스 펜션",,"","","","","","","","","","","",""
"미르앤러브게스트하우스",,"","","","","","","","","","","",""
"랑 글램핑",,"","","","","","","","","","","",""
"쉼게스트하우스",,"","","","","","","","","","","",""
"다올제민박",,"","","","","","","","","","","",""
"라마다 제주시티호텔",,"","","","","","","","","","","",""
"볼몽지엥하우스",,"","","","","","","","","","","",""
"소낭재",,"","","","","","","","","","","",""
"체이슨호텔 더 스마일",,"","","","","","","","","","","",""
"포구민박",,"","","","","","","","","","","",""
"에덴통나무빌리지",,"","","","","","","","","","","",""
"나인스파빌",,"","","","","","","","","","","",""
"해안길펜션",,"","","","","","","","","","","",""
"우도몽생이",,"","","","","","","","","","","",""
"빌림",,"","","","","","","","","","","",""
"더블루제주",,"","","","","","","","","","","",""
"맑은바람 펜션",,"","","","","","","","","","","",""
"드헤브펜션",,"","","","","","","","","","","",""
"블랙롯지",,"","","","","","","","","","","",""
"포비네오두막게스트하우스",,"","","","","","","","","","","",""
"제주항공우주호텔",,"","","","","","","","","","","",""
"길섶나그네펜션",,"","","","","","","","","","","",""
"커플게스트하우스",,"","","","","","","","","","","",""
"발리인제주",,"","","","","","","","","","","",""
"메종드판포",,"","","","","","","","","","","",""
"월정소랑",,"","","","","","","","","","","",""
"제주목화휴양펜션",,"","","","","","","","","","","",""
"아이존호텔",,"","","","","","","","","","","",""
"스카이워커",,"","","","","","","","","","","",""
"비지터게스트하우스",,"","","","","","","","","","","",""
"빌라배알로",,"","","","","","","","","","","",""
"무이비엔",,"","","","","","","","","","","",""
" 메리어트관 제주신화월드 호텔앤리조트",,"","","","","y","","15:00","12:00","","y","사우나","유모차 대여 서비스, 키즈 클럽 ‘플레이타임’ (유료), 카시트 대여 서비스"
"자연인",,"","","","","","","","","","","",""
"마린포트리조트",,"","","","","","","","","","","",""
"에이티눈호텔",,"","","","","","","","","","","",""
"마레카펜션",,"","","","","","","","","","","",""
"우도쉼팡게스트하우스",,"","","","","","","","","","","",""
"클레멘타인",,"","","","","","","","","","","",""
"세화리움",,"","","","","","","","","","","",""
"매직우드펜션",,"","","","","","","","","","","",""
"차니비니게스트하우스",,"","","","","","","","","","","",""
"카사마리나",,"","","","","","","","","","","",""
"해녀촌민박",,"","","","","","","","","","","",""
"우도스쿠버리조트",,"","","","","","","","","","","",""
"서머셋 제주신화월드 호텔앤리조트",,"","","","","y","","15:00","12:00","","y","물품보관소,","유모차 대여 서비스, 어린이 야외 놀이터"
"유니콘펜션",,"","","","","","","","","","","",""
"썬비치리조트",,"","","","","","","","","","","",""
"제주가온29",,"","","","","","","","","","","",""
"도로시게스트하우스",,"","","","","","","","","","","",""
"배목수집",,"","","","","","","","","","","",""
"용두암빌리지",,"","","","","","","","","","","",""
"제주마로펜션",,"","","","","","","","","","","",""
"자넷앤캐시",,"","","","","","","","","","","",""
"또랑게스트하우스",,"","","","","","","","","","","",""
"펜션형민박꿈꾸는숲",,"","","","","","","","","","","",""
"오션스카이",,"","","","","","","","","","","",""
"제주사랑 펜션",,"","","","","","","","","","","",""
"데이빗펜션",,"","","","","","","","","","","",""
"예닮게스트하우스",,"","","","","","","","","","","",""
"사면초가펜션",,"","","","","","","","","","","",""
"금서방네이층집",,"","","","","","","","","","","",""
"유탑유블레스호텔",,"","","","","","","","","","","",""
"마니주팬션",,"","","","","","","","","","","",""
"남쪽나라빌",,"","","","","","","","","","","",""
"사랑이꽃피는민박",,"","","","","","","","","","","",""
"제주머무리 삼양힐링팜",,"","","","","","","","","","","",""
"자장자장펜션",,"","","","","","0","15:00","11:00","","","",""
"알앤비타운",,"","","","","","","","","","","",""
"제주해조대펜션",,"","","","","","","","","","","",""
"동도리동하우스",4,"n","3","1","","","0","14:00","11:00","","","주차장,개별테라스",""
"오후여섯시펜션",5,"n","3","1","202번 곽지모물 하","n","0","15:00","11:00","n","n","1층 카페/ 옥상전망대/야외바베큐장",""
"조천스테이",,"","","","","","","","","","","",""
"시땅",,"","","","","","","","","","","",""
"비자낭달집",,"","","","","","","","","","","",""
"밀레니엄빌",,"","","","","","","","","","","",""
"아이콘펜션",,"","","","","","","","","","","",""
"우도그린휴양펜션",,"","","","","","","","","","","",""
"엔젤하우스",13,"y","2","1","","","0","16:00","11:00","y","","카페휴게실,",""
"다인오세아노 호텔",,"","","","","","4","15:00","","","","",""
"제주리조트",25,"n","3","2","","n","3","15:00","11:00","y","n","",""
"성게돌 펜션 ",5,"y","3","2","181","n","0","15:00","11:00","y","","",""
"제주도연게스트하우스",5,"n","2","1","4번게이트 102번 탑승후 애월리정류소에서 202번 환승","n","0","17:00","10:00","n","n","제주도모퉁이스낵연회장","불가"
"호텔 스카브로",40,"n","1","1","","","0","15:00","11:00","y","","",""
"안녕김녕sea",7,"","2","2","","","0","17:00","11:00","y","","카페'낯선여유'",""
"러브제주게스트하우스 산방산지점",7,"n","2","1","","n","0","16:00","22:00","y","n","카페",""
"제주파인비치카라반",6,"n","3","1","","n","0","16:00","11:00","","","",""
"디포레카라반파크",,"n","","","","","","15:00","11:00","","","",""
"아를하우스",2,"n","2","1","","n","0","17:00","11:00","n","n","",""
"서건도 카라반",15,"y","3","1","","","0","15:00","11:00","y","","",""
"하이디펜션",,"","","","","","","15:00","11:00","","","",""
"라신비",,"","","","","","","15:00","10:00","","","",""
"제주동문게스트하우스",14,"n","2","1","공항1층 용담시청방면정류소 316, 325, 343-2번","n","0","16:00","11:00","n","n","1층 편의점, 7층 휴게실, 빨래방(유료) 운영",""
"한화리조트 제주",,"","","","","","0","","","","","",""
"다인리조트",93,"n","1","2","","n","0","15:00","12:00","n","n","야외라이브가든(BBQ), 야외수영장, 키즈풀장, 비즈니스실, 세미나장, ",""
"제주영숙",3,"","2","","","","","17:00","11:00","","","",""
"바랑쉬게스트하우스",11,"n","","2","","","","16:00","10:00","y","","",""
"디포레카라반파크",,"n","3","","","","0","15:00","11:00","","","",""
"서귀포호텔  카라반",,"","","","","","","15:00","11:00","","","",""
"솔로게스트하우스 앤 두루두루펜션",8,"y","3","1","","","2","15:00","11:00","","","",""
"하마다 게스트하우스",4,"","2","1","","","","17:00","10:00","","","",""
"바람이분다 게스트하우스",4,"","2","","","","","16:00","10:00","","","",""
"바르게스트하우스",3,"","","","","","","16:00","10:00","","","",""
"언니네여인숙",3,"","","","","","","17:00","10:00","","","",""
"썬앤문리조트",,"","2","1","","","","16:00","11:00","n","","","유아용 변기커버"
"우연히 행복해지다",,"","","","","","","15:30","10:30","","","",""
"그린트리인서귀포호텔",305,"n","1","1","","n","2","15:00","12:00","y","y","",""
"에코힐링하우스",7,"y","3","2","제주공항이용","n","1","15:00","11:00","y","n","",""
"오조리337 게스트하우스",2,"","","","","","","17:00","10:00","","","",""
"조천댁",,"","","","","","","16:00","12:00","","","",""
"스테이달하",,"","","","","","","15:00","11:00","","","",""
"하도하도 3200",,"","","","","","","16:00","11:00","","","",""
"더 프라이빗 시로",2,"","","","","","","15:00","11:00","","","",""
"김군아미고게스트하우스",7,"n","2","2","택시비 12,000원  /  202번 버스 명주주택 승차 > 구엄리 하차 도보 10분","n","0","16:00","10:00","y","n","주차장, 파티룸",""
"더블루민박",,"","","","","","","","","","","",""
"하티게스트하우스",,"","","","","","","16:00","10:00","","","",""
"위미모루왓",4,"n","3","1","","n","0","15:00","11:00","y","n","텃밭",""
"제주해나루",4,"n","3","1","800번, 800-1번","n","0","16:00","11:00","y","n","",""
"개스트하우스 말2",3,"y","3","1","","","","16:00","10:30","","","",""
"러블리에스메랄다",2,"n","3","1","","n","0","17:00","13:00","y","n","","어린이 놀이터, 어린이 장난감, 어린이 미니풀장, 젖병소독기"
"혼디",7,"n","2","2","","n","0","15:00","11:00","y","n","",""
"제주가좋아서 펜션",7,"n","3","2","","n","0","15:00","11:00","","n","",""
"에코그린리조트",56,"n","1","1","버스/택시/렌트카","n","3","15:00","11:00","y","y","","유아 식기"
"하원가휴양펜션",6,"n","3","2","제주공항 600번 공항리무진 승차 - '약천사'정류장 하차(도보 1분거리 위치)","n","0","15:00","11:00","y","n","원목그네,엘리베이터","유아발디딤대, 유아베개"
"느르왓 민박",,"","","1","","","","16:00","10:00","","","",""
"퐁낭하우스제주",4,"y","","","","","","","","","","",""
"이뻬게스트하우스",3,"n","2","1","","n","0","16:00","11:00","y","n","",""
"이안재 ",,"","","","","","","15:00","10:00","","","",""
"골든파크호텔",38,"n","1","1","택시 7분, 버스 이용 15분 ","n","2","15:00","11:00","y","y","조식 식당",""
"다락마마",4,"n","3","2","101번","n","0","16:00","10:30","y","n","",""
"뚜르드제주",7,"n","2","1","101번 급행 - 201번 환","n","0","17:00","10:00","n","","카페",""
"협재해오름펜션",3,"n","3","2","대중교통(시내버스)","","0","15:00","11:00","n","","주방조리가능",""
"시니스테이 민박",6,"n","2","1","102번 급행버스 (제주공항 게이트 4번) - 애월 환승정류장 하차","n","0","16:00","10:00","y","","1층 로비(숙박하시는 분들 아침식사 장소 및 식음료장, 단체손님들 세미나실로 활용 가능)",""
"헌치 게스트하우스",3,"n","3","2","급행 111번 / 112번 30분 간격 운행(도착 30분 소요)","n","0","14:00","11:00","y","n","베란다 / 화장실 / TV / 냉장고 / 옷걸이 / 거울 / 선풍기 / 에어컨 / 샴푸 / 바디샴푸 / 수건 / 생수 / 비상벨 / 비상전등 / 소화기 등",""
"521 게스트 하우스",4,"n","2","2","버스 및 렌트카","","0","17:00","10:00","y","","",""
"뜨레향 펜션",2,"n","3","2","","","0","16:00","11:00","y","","",""
"틸다하우스",6,"n","1","2","자가","n","0","14:30","11:00","y","n","모래놀이터,실내놀이터,실내도서관",""
"가비오타 펜션",5,"n","","2","201번 버스 (해녀박물관에서 하차하면 픽업 가능)","","","15:00","11:00","y","n","",""
"월정플레이스",,"n","3","1","","n","0","15:00","10:00","y","n","",""
"코즈게스트하우스",4,"n","1","1","151, 152, 182, 600번 버스","n","5","15:00","11:00","y","n","전기차충전기",""
"슬로우리제주 민박",2,"n","3","2","","","0","16:00","11:00","y","","",""
"언덕위에 빨간지붕",2,"n","3","1","","n","","15:00","11:00","y","n","",""
"아템파우제",,"","","","","","","16:00","11:00","","","",""
"눈의꽃 하우스",,"","","","","","","15:00","11:00","y","","",""
"경소하라하우스 제주독채펜션",3,"n","3","1","","n","0","18:00","11:00","y","n","밖거리(키친동),55인치 텔레비젼, 오락실 게임기, 기가지니",""
"체이슨호텔 더 리드",108,"n","1","1","800, 800-1","n","0","15:00","11:00","n","n","스마트오피스",""
"그랜드밀리언스 호텔 인 서귀포",310,"n","1","2","공항 직행 버스 ","n","0","15:00","11:00","y","y","",""
"스카이 힐 비지니스호텔",92,"n","3","1","콜택시 5분거리 , 간선버스 10","n","3","15:00","11:00","y","y","",""
"더포그레이스 호텔앤리조트",144,"n","1","1","","","4","15:00","11:00","y","y","급속 전기차 충전소","침대 안전 가드"
"호텔서귀피안",30,"n","1","2","버스 및 자가용","n","0","15:00","11:00","y","n","",""
"토토하우스",3,"y","3","1","공항에서 20분","","0","15:00","11:00","y","","키즈룸",""
"무뚱하우스",3,"y","","2","공항에서 40분거리","y","0","04:00","11:00","y","n","뱌베큐, 세탁기, 월풀, 애기의자, ","애기의자"
"밧돌 게스트하우스",6,"n","2","2","111번, 112번, 211번, 212번","n","0","16:00","11:00","","","",""
"민박집섶낭",1,"n","3","2","공항출발 102번(급행) --> 한림환승정류장에서 202번 버스로 환승 --> 협재 해수욕장 하차 뒤 7분 도보 ","n","0","16:00","11:00","y","n","에어컨, 냉장고, 드럼세탁기, 전기쿡탑, 전기포트, 각종 주방용품 및 욕실용품, 책들, 커피, 블루투스스피커 등",""
"동복리671",24,"n","2","2","","n","1","16:00","10:00","y","","기타궁금한거문의주세요",""
"제주둥지펜션",8,"n","2","2","102번 버스 애월우체국에서 하차 -> 픽업제공","n","0","15:00","11:00","y","n","온수수영장, 산양먹이주기체험",""
"마이하프타임펜션",,"","","","","","","","","","","",""
"월정에비뉴",3,"n","1","2","","n","0","03:00","11:00","n","n","",""
"펜션 수망가라",3,"y","3","1","","","","14:00","11:00","y","","주차장",""
"브라운 스위트 제주 호텔 & 리조트",187,"n","1","1","제주공항 GATE 1에서 111번 또는 112번 탑승 → 성산환승정류장(고성리 회전교차로) 하차 → 201번 탑승 후 고성오일시장 정류장 하차","n","0","15:00","11:00","y","y","","침대에 설치 가능한 베이비가드 보유 및 사전신청 시 설치가능"
"신화관 제주신화월드 호텔 앤 리조트",,"","","","","y","","15:00","12:00","y","","",""
"그림리조트",30,"n","2","1","택시로 5분이동","n","0","14:00","11:00","y","n","수영장, 놀이터",""
"한담풍경하우스",5,"n","3","2","● 제주국제공항(대정.화순.일주서로) 정류장까지 약 120m 걷기 (약 2분) → 102(서귀포버스터미널)(제주국제공항(대정.화순.일주서로)) 승차 후 → 애월환승정류장(애월리) 정류장에서 하차 (약 30분)","n","0","15:00","11:00","y","y","사무실옆 세탁실사용가능",""
"별장민박",5,"n","1","1","","n","0","","","y","n","",""
"그린민박",17,"n","1","1","","y","0","","","y","n","",""
"공감민박",3,"n","3","2","111,112 버스이용시 근처 수산초등학교 정차","","0","16:00","11:00","y","","",""
"켄싱턴리조트 서귀포",223,"n","1","2","600번 공항버스로 40분 리조트 앞 버스종류장 위치","n","4","15:00","11:00","y","n","키즈라운지, 펀스테이션, 해수사우나, 세탁실, 노래방, 편의점","키즈프로그램"
"두리안펜션",8,"n","3","2","131번, 132번 직통버스","n","0","15:00","11:00","y","n","",""
"호텔 앨리스앤트렁크",80,"n","3","1","버스(315/316/365/465) 은남동 하차","n","4","15:00","11:00","y","y","바","베이비가드 사전 신청가능(무료)"
"제주유스호스텔",70,"n","1","1","","n","0","13:00","10:00","y","y","500명 수용 공연장",""
"청정고을민박",2,"n","1","1","","n","0","","","","n","",""
"황재여관",9,"n","3","1","","n","0","","12:00","y","n","",""
"아름다운펜션민박",8,"y","3","2","","y","0","","","y","n","",""
"고려민박",5,"y","3","1","","y","0","","","y","n","",""
"추자도민박",6,"n","1","2","","y","0","","","y","n","",""
"내사랑추자야펜션민박",2,"y","1","1","","y","0","","","y","n","",""
"아이콘민박",5,"n","1","2","","y","0","","","y","n","노래방",""
"다미네민박",3,"n","3","2","","y","0","","","y","n","",""
"추자도휴양펜션",6,"n","1","1","","y","0","","","y","n","",""
"여정여관",8,"n","3","2","","n","0","","","y","n","",""
"갤러리민박",4,"y","3","2","","y","0","","","y","n","",""
"나바론 민박",6,"n","1","1","","y","0","","10:00","y","n","",""
"김선장네 민박",9,"n","3","1","","y","0","","","y","n","",""
"물돌이민박",7,"n","1","2","","y","0","","","y","n","",""
"추자피싱랜드",7,"n","1","2","","y","0","","","y","n","",""
"밀물민박",1,"n","1","1","","y","0","","","y","n","",""
"인추자커피앤민박",4,"n","3","1","","n","0","15:00","11:00","y","n","",""
"에코하우스민박펜션",7,"n","1","2","","y","0","14:00","11:00","y","n","",""
"이레민박",6,"n","1","2","","y","0","","","y","n","",""
"추사랑민박",5,"n","1","2","","y","0","","","y","n","",""
"대물민박",7,"y","1","2","","y","0","","","y","n","",""
"레몬이네 민박",7,"n","1","2","","y","0","","","y","n","",""
"조은민박",6,"n","1","1","","y","0","","","y","n","",""
"동일민박",3,"n","1","1","","n","0","","","y","n","",""
"뉴아일랜드민박",10,"n","1","2","","y","0","","","y","n","",""
"추자바다25시",12,"n","1","1","","y","0","","","y","n","",""
"케니스토리 인 서귀포 ",324,"n","1","1","","n","0","15:00","11:00","y","","도서관",""
"라마다앙코르 서귀포호텔",243,"","","","800, 800-1","n","4","15:00","12:00","y","y","",""
"바다와자전거",3,"n","2","2","버스 및 렌터카","n","","16:00","10:00","","n","",""
"제주머무리",3,"n","3","2","","n","","15:00","11:00","y","","농장둘레길",""
"씨사이드아덴",190,"n","3","1","중문관광단지 600번 공항버","n","0","15:00","11:00","y","y","객실 내 취사가능",""
"바람스테이",1,"n","3","1","","n","0","16:00","11:00","n","n","",""
"소풍(월정리)",3,"n","2","2","101번 버스","n","","14:00","11:00","","n","",""
"골드원?호텔 & 스위트",,"","","","","","4","","","","","",""
"콤포스텔라 별들의들판",6,"n","2","2","제주공항 4번 게이트에서 102번 버스 탑승, 한림에서 픽업 가능","n","0","04:00","11:00","y","","자전거 대여","36개월 미만 동반 불가"
"돌담한길펜션",,"","","","","","","","","","","",""
"여울목 펜션",4,"n","3","","600","","0","03:30","11:00","y","","",""
"여울목 펜션(강정동)",4,"n","3","","600","n","0","15:30","11:00","y","n","",""
"호텔 시리우스 제주",280,"n","1","1","","n","4","03:00","11:00","y","y","",""
"밭담사이",2,"y","3","1","","","0","15:00","11:00","y","","",""
"머무름민박",6,"n","3","1","","n","","14:00","12:00","n","n","",""
"레드우드하우스",6,"n","2","2","101번 급행 - 201번 환승(711-2번 환승)","n","","17:00","10:00","y","","개인욕실, 에어컨, 온풍기, 침대, 테이블, 샤워용품, 정원",""
"피디스테이션",7,"n","2","2","","n","0","17:00","10:30","y","n","무료 주차장","유아 식기류, 장난감, 샤워가운 등 구비"
"제주토비스콘도",118,"","1","","","","3","15:00","11:00","","","한식당, 노래방, 편의점, 족구장",""
"더큐브리조트 제주",255,"n","1","2","","n","3","15:00","11:00","n","y","",""
"힐파크모텔",35,"n","3","3","대줄교통","n","0","15:00","11:00","y","n","",""
"클럽ES리조트 제주",153,"n","1","1","","n","0","14:00","12:00","y","y","게임룸, 키즈룸, 어린이놀이터, 숲쉼터,편의점",""
"더오라",2,"n","3","1","","n","0","15:00","11:00","y","n","",""
"돌담길",4,"n","1","1","","","0","16:00","11:00","y","","",""
"중문진실캠핑장",,"n","3","","","","","15:00","11:00","y","","",""
"심스호텔",92,"n","1","1","","n","3","15:00","11:00","n","y","",""
"그랜드 조선 제주",248,"n","1","1","","n","0","15:00","12:00","n","y","","키즈클럽, 키즈 물품 대여 서비스, 키즈 프로그램"
"빌라비하우스",,"n","","","","","","16:00","11:00","","","",""
"씨스테이 용두암",2,"n","3","2","버스, 택시","n","3","15:00","11:00","n","n","",""
"그랜드 하얏트 제주",1600,"n","1","2","","","5","15:00","11:00","","y","라운지, 키즈 아케이드","요청 시 유아 용품 대여"
"청재설헌",,"","","","","","","15:00","11:00","","","",""
"제주밭담숲",,"","","","","","","","","","","",""
"리틀해녀 ",3,"n","3","2","택시, 버스, 도보","","3","15:00","11:00","n","n","",""
"더그랜드섬오름",132,"n","1","2","","n","4","15:00","12:00","n","y","",""
"제주올레돔",19,"n","3","2","","n","0","16:00","11:00","n","n","",""
"씨오르리조트",62,"n","1","1","","","","15:00","11:00","n","n","노래연습장, 매점",""
"보로미 민박",3,"n","3","2","455번, 791번 버스 이용","","0","17:00","11:00","y","n","","유아식탁의자"
"돌꽃펜션",,"n","3","1","","","","15:00","11:00","n","","",""
"파도봐펜션",12,"y","3","1","버스정류장 도보 7","n","0","15:00","11:00","n","n","퍼터연습장",""
"쌩텀펜션원",7,"n","3","1","공항버스 제주관광대정류장 이용","n","0","15:00","11:00","y","n","200여 평 유럽풍 정원",""
"오크하우스",,"n","3","2","숙소 옆 버스정류장, 도로근접, 교통좋음","","0","15:00","10:30","","","캠핑공간 이용, 바베큐 이용, 캠핑장비대여",""
