콘텐츠명,시작일,종료일,시작시간,종료시간,요금,주관,주최,후원
생태가 살아있는 예래마을 에코파티,2018-04-21,2018-04-21,,,,,,
일출랜드 철쭉제 & 미천굴 정영훈 미디어 아트전,2018-04-15,2018-05-31,,,,,,
제주의 청정마을 ‘청수 에코파티’,2018-04-28,2018-04-28,,,,,,
하효 마을 감귤 꽃 에코파티,2018-05-06,2018-05-06,,,,,,
자연에 어울린 한남리 유채꽃 에코파티,2018-05-12,2018-05-12,,,,,,
2018 제주사랑 자선 만보 걷기대회,2018-05-19,2018-05-19,,,,,,
선흘1리 에코파티 - 숲편지와 손편지,2018-05-19,2018-05-19,,,,,,
토요박물관산책(국립제주박물관 문화공감 프로그램),2018-07-14,2018-10-27,,,,,,
이호바당노을 콘서트,2018-07-14,2018-07-22,20:00,21:30,,,,
"감물 들이기, 봉숭아 물들이기 체험행사",2018-07-28,2018-08-05,,,,,,
앨리스  전시회,2018-09-01,2018-12-31,8:30,18:00,,,,
호러 나이트 마켓,2018-07-21,2018-09-01,17:00,21:00,,,,
제주레저스포츠대축제,2018-08-24,2018-09-13,,,,,,
송당 마불림제,2018-08-23,2018-08-23,9:00,17:00,,,,
하례내창축제,2019-09-29,2019-09-29,14:00,20:00,,,,
가파도 가을 꽃잔치,2018-09-07,2018-10-14,,,,,,
제주메밀에 혹하다,2018-10-13,2018-10-14,,,,,,
서복전시관 요가 페스티벌,2018-10-28,2018-10-28,10:00,16:00,,서귀포시,서귀포시,
제주한류페스티벌,2018-11-04,2018-11-04,16:00,,,,,
별 볼일 많은 마라여행,2018-10-20,2018-11-11,,,,,,
제주천연화장품 뷰티박람회,2018-11-02,2018-11-04,,,,,,
피그인블랙페스티벌 ,2018-10-27,2018-10-28,11:00,17:00,,,,
숨비소리 길 걷기 그리고 겨울 음악회,2018-12-01,2018-12-01,10:00,15:00,,아라한디자인웍스,제주특별자치도 해녀문화유산과,
제주를 열다,2018-12-14,2018-12-20,,,,,,
제주카페스타＆제주통기타페스티벌,2019-02-28,2019-03-03,,,,,,
한림공원 튤립축제,2021-03-25,2021-04-11,9:00,18:30,,,,
4.3 미술제,2019-04-03,2019-04-30,10:00,18:00,,,,
제주 메밀축제,2019-06-01,2019-06-02,10:00,18:00,,,,
제주 크래프트 비어 페스타,2019-07-01,2019-08-31,,,,,,
2019 서귀포과학문화축전,2019-09-28,2019-09-28,14:00,22:00,,,,
2019 렛츠런파크제주 가을 페스티벌,2019-09-28,2019-10-19,,,,,,
아직도 목화꽃이 피었습니다,2019-11-20,2019-11-24,13:00,19:00,,,,
제주 크리스마스마켓,2019-11-23,2019-12-25,16:00,20:00,,,,
청초밭 억새 친구 동백 축제,2019-11-10,2020-03-01,10:00,18:00,,,,
2022 제주카페스타,2022-06-23,2022-06-26,10:00,18:00,,,,
제주 도심 속 야간여행  야밤버스,2020-05-22,2020-09-26,18:30,21:20,,,,
2020 제주신화러브콘서트 Jazz Night & Classic Night,2020-06-27,2020-08-07,19:00,21:00,,,,
9.81파크; 억새시즌,2020-11-01,2020-11-30,9:20,18:00,,,,
광해군 테마 활성화 프로그램,2020-11-13,2020-11-15,,,,,,
청초밭 동백꽃 축제,2020-11-14,2021-03-31,,,,,,
제주허브동산 겨울동백축제,2021-11-25,2022-01-15,9:00,22:00,,,,
이건희 컬렉션 이중섭 특별전 <70년 만의 서귀포 귀향歸鄕>,2021-09-05,2022-03-06,9:30,17:20,,서귀포시 문화예술과,서귀포시 문화예술과,
"산지에 색을 입히다, 컬러풀산지",2021-09-03,2021-11-27,,,,,,
제주아트디자인페스타2021(JADfesta 2021),2021-10-07,2021-10-10,,,,,,
아시아 웰니스 관광 국제 포럼,2021-12-10,2021-12-11,,,,,,
숲속 힐링콘서트 '달팽이 안단테',2018-04-28,2018-09-29,,,,,,
한림공원 '제1회 부겐빌레아 꽃축제',2018-05-05,2018-06-17,,,,,,
설문대할망 페스티벌(제주돌문화공원),2019-05-01,2019-05-31,,,,,,
제1회 서귀포은갈치축제,2018-05-04,2018-05-06,,,,,,
휴림 어린이날 행사,2018-05-05,2018-05-07,,,,,,
제3회 제주항공우주과학축제,2018-05-19,2018-05-20,,,,,,
2018 별빛공장 쇼케이스,2018-05-21,2018-05-21,,,,,,
제주뮤직페스티벌,2017-08-25,2017-08-26,,,,,,
2017 제주코릿페스티벌(9월),2017-09-29,2017-09-30,,,,,,
낭낭축제(7월),2017-07-29,2017-07-29,,,,,,
삼다공원 야간힐링콘서트 야몬딱털장,2017-05-12,2017-06-30,,,,,,
다민족문화제,2018-05-19,2018-05-20,,,,,,
"제주민속촌, 봄맞이 초가지붕 잇기 한창",2018-02-01,2018-03-31,,,,,,
금능 원담축제,2019-08-03,2019-08-04,,,,,,
이호테우축제,2019-08-02,2019-08-04,8:00,22:00,,,,
‘귤빛으로 놀다’ 오월의 귤꽃소풍,2017-05-06,2017-05-07,,,,,,
제주국제관악제,2021-12-03,2021-12-07,,,,,,
쌈마이웨이 to 제주,2017-07-22,2017-07-22,,,,,,
보롬왓 축제,2019-05-01,2019-05-31,,,,,,
방선문축제,2019-05-04,2019-05-05,,,,,,
평화의 섬 제주 아트의 섬이 되다,2017-09-27,2017-10-30,,,,,,
제주MBC 국제평화마라톤,2022-03-14,2022-03-27,,,,,,
2017 거리예술제,2017-05-26,2017-06-28,,,,,,
2017 세계人제주 외국인커뮤니티 한마당제전(Jeju Expats Festival),2017-06-24,2017-06-24,,,,,,
서사라문화거리축제,2018-03-30,2018-04-01,,,,,,
토요일은 송당에서 놀자,2017-04-15,2017-08-26,,,,,,
쇠소깍축제,2019-08-17,2019-08-18,,,,,,
FULL METAL JEJU 2017,2017-06-03,2017-06-04,,,,,,
제주노랑축제,2017-06-02,2017-07-02,,,,,,
황금청보리축제,2018-04-28,2018-05-22,,,,,,
2017 추자도 한그릇 요리대회,2017-07-10,2017-08-21,,,,,,
교래마을과 함께하는 곶자왈 숲속콘서트,2017-10-14,2017-10-14,,,,,,
제56회 탐라문화제 홍보콘서트,2017-07-29,2017-07-29,,,,,,
삼다공원 야간콘서트·야몬딱털장,2019-04-26,2019-08-23,,,,,,
예래생태체험축제,2019-07-27,2019-07-28,11:00,21:30,,,,
새연교 콘서트,2019-06-01,2019-08-31,,,,,,
에코파티,2019-04-20,2019-06-30,,,,,,
2017 SMTOWN Workshop in Jeju,2017-06-19,2017-06-20,,,,,,
삼양검은모래축제,2019-07-26,2019-07-27,,,,,,
2017 제2회 UCLG 문화정상회의,2017-05-10,2017-05-13,,,,,,
여름 밤의 예술축제,2019-07-26,2019-08-01,19:30,,,,,
한여름밤 솜반천 청소년영상문화축제(7~8월),2017-07-22,2017-08-05,,,,,,
제주왕벚꽃축제,2019-03-29,2019-03-31,,,,,,
곶자왈 반딧불이 축제,2019-06-01,2019-07-14,,,,,,
난드르올레 좀녀해상공연,2018-07-20,2018-09-09,,,,,,
제24회 제주성읍마을 전통민속재연축제,2017-10-21,2017-10-22,,,,,,
서귀포겨울바다 국제펭귄수영대회,2020-01-01,2020-01-01,9:30,12:30,,서귀포시관광협회,서귀포시,
보목자리돔축제,2019-05-31,2019-06-02,,,,,,
제주푸드앤와인페스티벌,2021-05-01,2021-11-30,,,,,,
 한라산청정고사리축제,2019-04-27,2019-04-28,,,,,,
2017 전국생활체육대축전,2017-06-08,2017-06-11,,,,,,
제주 해비치 아트페스티벌,2021-11-22,2021-11-25,,,,,,
스테핑스톤페스티벌,2019-07-12,2019-07-13,,,,,,
"함께해요,환경축제",2017-06-02,2017-06-05,,,,,,
제주국제크루즈포럼[전면 취소],2021-08-26,2021-08-28,,,,,,
Korea Sports for All Festival 2017,2017-06-08,2017-06-11,,,,,,
THE CJ CUP@NINE BRIDGES JEJU,2019-10-17,2019-10-20,,,,,,
숲속힐링콘서트 '쓰담쓰담',2017-04-26,2017-09-27,,,,,,
덕수리 전통민속축제,2018-10-13,2018-10-14,,,,,,
이호테우 야간 콘서트,2017-08-12,2017-08-20,,,,,,
제18회 용연선상음악회,2017-09-29,2017-09-29,,,,,,
제주해녀축제[취소],2021-09-17,2021-09-19,,,,,,
성산일출축제 [비대면 개최],2021-12-31,2022-01-01,,,,성산일출축제집행위원회,제주특별자치도,
서귀포 유채꽃 국제걷기대회,2022-03-26,2022-03-27,,,,,,
수월봉 트레일,2019-04-25,2019-04-28,,,,,,
우도소라축제,2019-04-12,2019-04-14,10:00,15:00,,,,
제주해녀축제(10월),2017-09-30,2017-10-01,,,,,,
세계자연유산등재 10주년 기념행사,2017-09-10,2017-09-14,,,,,,
최남단 모슬포 방어축제,2021-11-15,2021-11-30,,,,,,
돈내코계곡 원앙축제,2019-08-03,2019-08-03,10:00,22:00,,,,
제주윈터페스티벌,2019-12-21,2020-01-19,,,,,,
서귀포 칠십리축제,2021-11-19,2021-11-21,,,,,,
제주국제관광마라톤축제,2018-05-27,2018-05-27,,,,,,
곶자왈 숲속 콘서트,2019-09-28,2019-09-28,19:00,21:00,,,,
제1회 국제에코청정마라톤대회,2017-06-24,2017-06-24,,,,,,
제7회 국제전기자동차엑스포,2020-04-29,2020-05-02,,,,,,
제주올레걷기축제,2020-10-23,2020-11-14,,,,,,
표선해변 하얀모래축제,2019-08-03,2019-08-04,,,,,,
제10회 밭담의 숨결 브로콜리와 해변의 특별한 만남,2017-08-04,2017-08-05,,,,,,
2017 서귀포 야해페스티벌,2017-08-09,2017-08-13,,,,,,
제주 유채꽃 축제,2021-04-06,2021-04-08,,,,,,
거문오름 국제트레킹,2019-07-20,2019-07-28,8:00,13:00,,,,
성평등을 실천하는 한마음축제,2017-07-01,2017-07-07,,,,,,
구좌 인디언 축제,2017-08-11,2017-08-19,,,,,,
한림공원 수선화축제,2020-01-17,2020-02-16,,,,,,
2017 윈드서핑카이트보딩페스티벌,2017-09-16,2017-09-17,,,,,,
제주포럼,2018-06-26,2018-06-28,,,,,,
제주 오라 청보리 & 유채꽃 축제,2019-04-26,2019-05-31,,,,,,
제주비엔날레 2017,2017-09-01,2017-12-03,,,,,,
도두오래물축제,2019-08-09,2019-08-11,,,,,,
한림공원 매화축제,2019-02-01,2019-02-28,,,,,,
노리매매화축제,2019-02-09,2019-03-10,,,,,,
한림공원 연꽃축제,2018-07-06,2018-08-26,,,,,,
한수풀바당축제(8월),2017-08-23,2017-08-23,,,,,,
탐라문화제,2021-10-06,2021-10-10,,,,,,
산지천 축제,2018-09-07,2018-09-09,,,,,,
추자도 참굴비 대축제,2021-11-12,2021-11-14,10:00,17:00,,,,
휴애리 매화축제,2022-02-18,2022-03-28,,,,,,
제주들불축제(2022년 취소),2022-03-18,2022-03-20,,,,,,
탐라국입춘굿놀이,2020-02-02,2020-02-04,,,,,,
가파도청보리축제,2019-03-30,2019-05-12,,,,,,
사려니숲 에코힐링 체험,2019-05-25,2019-06-02,,,,,,
14회 제주마축제,2017-10-20,2017-10-22,,,,,,
목관아가살아있다,2017-07-15,2017-09-16,,,,,,
2019 제주 그란폰도,2019-10-19,2019-10-19,7:00,16:00,,,,
제주산지천축제,2017-09-08,2017-09-10,,,,,,
제8회 서귀포봄맞이축제,2018-03-23,2018-03-24,,,,,,
평창동계올림픽 성화봉송 지역축하행사,2017-11-02,2017-10-03,,,,,,
한마음 치매극복 전국걷기행사,2018-04-14,2018-04-14,,,,,,
2017 제주프린지페스티벌,2017-10-14,2017-10-15,,,,,,
중문야호페스티벌,2019-10-04,2019-10-05,20:00,22:00,,,,
10월 제주말문화 관광의달 할인이벤트,2017-10-12,2017-10-31,,,,,,
제주마축제,2019-10-12,2019-10-13,,,,,,
디제이 뮤직 페스티벌 <아일랜드 페스트 밤>,2017-10-20,2017-10-21,,,,,,
달빛아래 메밀밭걷기 (추석연휴),2017-09-29,2017-10-05,,,,,,
중문 칠선녀축제,2018-10-20,2018-10-21,,,,,,
10월의 제주 말 축제,2017-10-07,2017-10-22,,,,,,
휴애리 봄 수국축제,2022-03-25,2022-05-31,9:00,18:00,,,,
2018 한림공원 튤립축제,2018-03-31,2018-04-20,,,,,,
2017 제주감귤국제마라톤대회,2017-11-12,2017-11-12,,,,,,
"가을, 귤빛으로 물들다",2017-11-04,2017-11-04,,,,,,
제2회 제주 더불어놀다 연극제,2017-11-04,2017-11-29,,,,,,
제주광어대축제 2017,2017-10-28,2017-10-29,,,,,,
제주음식박람회,2018-10-05,2018-10-07,,,,,,
제주밭담축제,2018-09-15,2018-09-16,,,,,,
상효원 튤립축제,2022-03-05,2022-04-10,9:00,19:00,,,,
2018 영등바람축제,2018-03-16,2018-03-30,,,,,,
2017 제주뮤직페스티벌,2017-08-25,2017-08-26,,,,,,
2017 코릿제주페스티벌,2017-09-29,2017-09-30,,,,,,
서귀포시 가을 여행주간 이벤트,2017-10-21,2017-11-05,,,,,,
 목관아 달빛콘서트,2018-03-30,2018-03-31,,,,,,
옥스팜 X 샘킴 푸드트럭 IN 제주,2017-10-19,2017-10-21,,,,,,
2017년 천연기념물 제주한란 전시회,2017-11-03,2017-11-05,,,,,,
제주감귤박람회___,2018-11-07,2018-11-13,,,,,,
제주감귤박람회,2021-11-05,2021-11-14,,,,,,
고마로 문화축제 (10월),2017-10-13,2017-10-15,,,,,,
2018 평화의 섬 제주국제마라톤대회,2018-04-29,2018-04-29,,,,,,
제주성읍마을 전통민속재연축제,2018-10-20,2018-10-21,,,,,,
제주 해양레저 페스티벌,2018-07-29,2018-08-26,10:00,17:00,,,,
서귀포 야해페스티벌,2019-08-15,2019-08-17,19:00,21:00,,,,
제18회 도두 오래물 축제  ,2018-08-10,2018-08-12,10:00,,,,,
제2회 서귀포3분관광영화제 노천영화상영회,2019-09-20,2019-09-20,19:00,20:30,,,,
서귀포천문과학문화관 체험프로그램,2012-07-18,2018-09-01,14:00,22:00,,,,
창작오페레타 이중섭,2018-09-06,2018-09-08,,,,,,
"다 같이, 더 가치 ",2018-11-16,2018-11-16,9:30,17:00,,,,
2018 ITOP포럼 특별기획전 <세상에서 가장 아름다운 섬 이야기>,2018-11-12,2018-11-21,,,,,,
"빛의 벙커 '모네, 르누아르... 샤갈' 전",2019-12-06,2021-02-28,,,,,,
탐라문화콘서트 - 놀젠놀장,2019-04-20,2019-05-25,,,,,,
 한 여름밤에 즐기는 박물관 미술관 프로그램,2018-07-01,2018-09-30,,,,,,
라이트아트페스타,2018-07-27,2018-10-24,9:00,23:00,,,,
월대천 축제,2019-07-27,2019-07-28,14:00,15:40,,,,
제주국제컨퍼런스,2018-09-19,2018-09-20,,,,,,
청렴문화제,2018-09-03,2018-09-08,,,,,,
상효원 메리골드축제,2018-09-22,2018-11-04,,,,,,
보름달 달풍선 날리기,2018-09-24,2018-09-25,16:00,,,,,
2018 제주드론필름페스티벌,2018-11-02,2018-11-04,,,,제주드론필름페스티벌 조직위원회,(주)제주방송,
JDC 제주신화페스티벌,2018-10-26,2018-10-28,,,,,,
청초밭메밀꽃축제,2018-10-03,2018-10-21,,,,,,
우도동굴음악회,2018-11-04,2018-11-04,14:00,,,,,
제주커피 브루어리 오픈하우스,2018-11-24,2018-11-24,10:00,20:00,,"하스카, 더스토리B","하스카, 더스토리B","하스카, 더스토리B, 커피수목원"
산방산아트북페어,2019-03-30,2019-03-31,10:00,18:00,,,,
여백의 이야기,2019-03-22,2019-05-29,,,,,,
"제주,100년의 시간여행 - 제주다크투어",2019-05-04,2019-11-30,,,,,,
가파도청보리축제,2019-03-30,2019-05-12,,,,,,
봄 시즌글라스 녹차 페스티벌,2019-05-31,2019-06-09,10:00,18:00,,,,
오라동 청보리&유채꽃 축제,2019-04-26,2019-05-31,8:00,18:00,,,,
한림공원 부겐빌레아축제,2021-05-22,2021-06-20,9:00,17:30,,,,
제주아일랜드 재즈페스티벌,2019-08-03,2019-08-04,,,,,,
Go Go! 제주 고산리 유적 선사 축제,2019-10-27,2019-10-27,10:00,16:00,,,,
컬러풀 이호,2019-07-26,2019-07-27,15:00,11:00,,"제주관광공사, JIBS",제주특별자치도,이호동 주민자치위원회
제주목 관아 야간개장 및 작은 음악회,2019-07-06,2019-09-07,19:30,21:30,,,,
월대천축제,2019-07-27,2019-07-28,14:00,15:40,,,,
야밤버스(제주시티투어버스),2019-08-02,2019-10-19,,,,,,
누웨마루 페스티벌,2019-09-14,2019-10-13,19:00,21:00,,,,
절물약수암 산사음악회,2019-08-17,2019-08-17,13:30,16:30,,,,
"2021 숲으로 오라, 어린이 환경수호대",2021-10-16,2021-10-17,,,,,,
가파도 가을 꽃 축제,2019-09-01,2019-10-31,,,,,,
제주허브동산 핑크뮬리축제,2021-09-20,2021-11-30,9:00,22:00,,,,
9.81파크 981 DAY 중력운동회,2019-09-07,2019-09-22,10:00,19:00,,,,
국제문화체험 한마당 “우리 함께! With Us!”,2019-09-28,2019-09-28,10:30,18:30,,,,
겨울철 제주에서 즐길 수 있는 축제 소개(영문),,,,,,,,
청수리 곶자왈과 함께하는 파브르곤충 야간탐방,2019-10-01,2019-10-31,,,,,,
2019 한경 위풍당당 페스티벌,2019-10-19,2019-10-20,,,,,,
메밀꽃을 보며 걸으며 생각하며,2019-10-21,2019-11-17,,,,,,
고치허민 지꺼진 장,2019-11-03,2019-11-03,11:00,15:00,,,,
곶자왈 한듸모영 축제,2019-11-09,2019-11-09,10:00,17:00,,,,
"가을빛에 물든 색다른 오름 탐험, 제주오름",,,,,,,,
최남단 버스킹공연,2019-10-30,2019-11-27,,,,한국관광공사,,
제주민속촌 꽃마당전,2019-11-01,2019-11-30,,,,,,
다 같이 더 가치 -시즌 2-,2019-11-15,2019-11-15,10:00,19:00,,공무원연금공단,공무원연금공단,
마노르블랑 수국축제,2021-04-12,2021-08-31,9:30,18:30,,,,
제주민속촌 수국축제 - 초가마을 도채비꽃 한마당,2020-06-05,2020-06-30,,,,,,
제주허브동산 수국축제,2021-06-01,2021-08-31,9:00,22:00,,,,
2020 제주식품대전,2020-07-16,2020-07-19,10:00,18:00,,,,
2021 서귀포문화재 야행,2021-10-08,2021-10-11,18:00,23:00,,,,
제주 중소바이오기업 특가판매전,2020-08-07,2020-08-14,15:00,19:00,,,,
메모리얼 도르라트럭  옛날극장,2020-10-01,2020-11-29,18:00,22:00,,,,
제주 허브동산 꽃잔디 축제,2021-04-01,2021-04-30,9:00,22:00,,,,
한라산 아래 놈삐꽃 필 무렵,2021-05-08,2021-05-16,,,,,,
제주일노래 상설공연,2021-06-05,2021-08-21,17:00,,,제주일노래상설공연집행위원회,(사)제주국제문화교류회,
(카테고리 잘못올림),,,,,,,,
한림공원 꽃무릇 축제,2021-09-15,2021-09-26,,,,,,
"제주 해변에서 해양쓰레기의 심각성을 알리다, FILTER-必터",2021-10-10,2021-10-23,,,,,,
"하트온(HEART ON), 신산에 불을 켜다",2021-10-12,2021-10-31,,,,,,
2021 제12회 제주프랑스영화제,2021-11-04,2021-11-08,,,,,,
2021 새별힐링축제 쉼 그리go,2021-11-13,2021-11-14,,,,,,
제주 식도락 테마여행 <향토음식점 스탬프 투어>,2021-11-20,2021-12-10,,,,,,
제주민속촌 설몽아일랜드,2021-12-11,2022-02-13,17:00,22:00,,,,
제주라프별빛축제,2018-11-01,2019-03-15,9:00,0:00,,,,
이기동 교수 초청 강연회,2018-07-21,2018-07-21,10:40,,,,,
한여름 밤의 예술축제____,2018-07-27,2018-08-02,19:30,,,,,
"제주 업사이클 페스티벌 ""가치고치""",2018-09-07,2018-09-08,,,,,,
탐라광장 하하 페스티벌,2019-06-01,2019-07-13,19:30,21:00,,,,
"이옥문, 김성오 전시회",2018-07-06,2018-09-19,,,,,,
숲속 피크닉 콘서트,2018-09-15,2018-09-15,15:00,19:30,30000,,,
"스스로 그러하다, 自然  강부언 展",2018-09-22,2018-12-12,10:00,17:30,,,,
국제핸드메이드in(人) 제주페어,2019-03-08,2019-03-10,,,,,,
흑돼지 제주 관광 페스티벌,2019-01-01,2019-06-30,,,,,,
제주민속자연사박물관 특별전,2019-04-12,2019-07-19,9:00,17:30,,,,
방림원 봄 야생화축제,2019-03-25,2019-05-31,8:30,18:00,,,,
그 곶에서 만난 사람,2019-05-22,2019-10-09,10:30,13:10,,,,
라운드 미드나잇 2019 SUMMER,2019-07-19,2019-07-20,20:00,2:00,,,,
산짓물공원콘서트,2019-08-10,2019-08-30,,,,,,
마노르블랑 핑크뮬리축제,2021-09-10,2021-11-30,9:00,18:30,,,,
와랑와랑 in 서귀포,2019-08-23,2019-09-01,18:00,21:00,,,,
힐링하리 하례계곡 탐사 “이벤트 행사”,2019-08-28,2019-08-28,14:00,14:00,,,,
휴애리 핑크뮬리축제,2021-09-10,2021-11-14,,,,,,
제주 오라 메밀꽃축제 ,2019-09-08,2019-10-06,,,,,,
"신산공원, 빛으로 제주를 품다",2019-10-17,2019-11-10,,,,,,
2020년 한중교류 문화사업 1월 제주도 신석기 시대 답사 프로그램,2020-01-17,2020-01-31,,,,,,
제10회 혼인지축제,2020-10-19,2020-10-20,,,,온평리,온평리,제주세계자연유산본부
2020 제주캠핑&레저페어(개최 취소),2020-09-09,2020-09-09,10:00,18:00,5000,,,
9.81파크; X리그 2021 정규시즌,2021-03-01,2021-11-07,9:00,18:30,,,,
해녀마켓 시즌 2 - 해녀와 함께하는 온/오프라인 프리마켓,2021-09-24,2021-10-30,15:00,19:00,,,,
하례 생태관광 프로그램 '여유',2021-10-21,2021-10-25,,,,,,
세상에 이런(E-RUN) 트립,2021-08-11,2021-10-20,,,,제주관광공사,제주특별자치도,
제로포인트트레일 더블 N 챌린지,2021-10-01,2021-10-30,,,,,,
[삭제][삭제,2021-10-01,2021-10-17,,,,,,
Jeju JOLLY FIESTA winter event,2021-12-07,2021-12-26,11:00,18:00,,,,
짠 페스티벌,2019-07-26,2019-07-28,,,,,,
청초밭 메밀꽃 축제,2018-10-03,2018-10-21,,,,,,
2019 제주 봄여행주간,2019-04-27,2019-05-12,,,,"문화체육관광부, 한국관광공사, 제주특별자치도, 제주관광공사",,
휴애리 동백축제,2021-11-12,2022-01-31,,,,,휴애리,
아트제주 2021,2021-11-25,2021-11-28,,,,,,
원도심이 와랑와랑,2018-12-22,2018-12-23,,,,,,
졸탄 SHOW,2018-12-08,2018-12-08,15:00,16:30,,,,
햇살맞이플리마켓,2018-12-21,2018-12-28,10:00,14:00,,,,
제주 포도갤러리 <시선의 수집> 배중열 展,2018-12-28,2019-03-13,10:00,17:30,,,,
버닝런 에어,2019-04-27,2019-04-27,,,,,,
 제주 광어대축제,2019-10-12,2019-10-13,,,,,,
2019 제주사랑 자선 만보 걷기대회,2019-05-18,2019-05-18,9:00,14:00,,,,
2019 제주국제철인3종경기,2019-07-12,2019-07-15,10:00,13:00,,제주국제철인3종경기대회 조직위원회 ,제주특별자치도 철인3종협회 ,"제주특별자치도, 제주특별자치도 체육회, (사)대한철인3종협회, 서귀포시청, 제주특별자치도개발공사, 성산읍시흥리, 제주오션파크, 도심건설(주)"
스트릿잼 아트퍼포먼스 페스티벌 2019 그린제주,2019-09-08,2019-09-08,14:00,20:00,,,,
삼성혈 문화의 거리 공연 모흥골 그디글락,2019-10-19,2019-10-19,10:00,17:00,,,,
2019 대한민국 문화의 달,2019-10-18,2019-10-20,,,,,,
방송인 박지윤 초청 나눔특강,2019-10-26,,15:00,,,,,
제주오름콘텐츠DAY,2019-10-26,2019-10-26,11:00,17:00,,,,
"알리사, 리턴 투 원더랜드",2019-11-03,2020-12-31,9:00,19:00,,,,
2020 제주 드라이브 잇쇼(2020 JEJU DRIVE EAT SHOW),2020-11-07,2020-11-08,11:00,18:00,,,,
제2회 제주국제드론필름페스티벌,,,,,,,,
제2회 제주 국제드론필름페스티벌 ,2019-11-01,2019-11-02,10:00,22:00,,,,
마라도섬투어(미공개),2019-10-30,2019-12-18,,,,,,
"쇠소깍 하효마을, 귤빛여행",2019-11-30,2019-12-01,10:00,17:00,,,,
마노르블랑 동백꽃축제,2021-11-26,2022-02-06,9:00,18:00,,,,
본태박물관 제임스 터렐 전시,2019-12-06,2019-12-31,10:00,18:00,20000,,,
2019 김만덕기념관 나눔 작은 그림전 ‘우리 집에 그림 하나’,2019-12-20,2020-02-28,,,,,,
2020 세계유산축전 - 제주화산섬과 용암동굴,2020-09-04,2020-09-20,,,,,,
한림공원 국화축제,2021-11-06,2021-11-28,,,,,,
서귀포 치유의숲 웰니스 멍때리기 대회,2021-05-26,2021-05-26,15:00,17:00,,,,
"문화 향유의 공간, 탐나는 원도심",2021-10-15,2021-11-27,,,,,,
상효원 동백축제 - 동백꽃길을 걷다,2021-12-01,2022-02-28,9:00,18:00,,,,
2022 스누피가든 발렌타인 축제 - LOVE IN SNOOPYGARDEN,2022-02-08,2022-03-31,9:00,16:00,,,,
명월국민학교 × 폴라로이드스타일 팝업스토어,2022-03-03,2022-03-31,,,,,,
2022 하영올레 걷기축제 & 걷기주간,2022-03-21,2022-03-27,,,,,,
